date_range,state,lake,chance_cyanoHAB,lat,lon,COMID,date_start,date_end,label
Nov-10-2024 to Nov-16-2024,ME,Pleasant Lake,0.07,46.02266,-68.1624,759,2024-11-10,2024-11-16,Pleasant Lake </br> 0.07%
Nov-10-2024 to Nov-16-2024,ME,Jackson Brook Lake,0.39,45.53332,-67.7441,1637,2024-11-10,2024-11-16,Jackson Brook Lake </br> 0.39%
Nov-10-2024 to Nov-16-2024,ME,Wytopitlock Lake,0.14,45.79854,-68.1596,2311,2024-11-10,2024-11-16,Wytopitlock Lake </br> 0.14%
Nov-10-2024 to Nov-16-2024,CO,Boyd Lake,0.18,40.43393,-105.033,11646,2024-11-10,2024-11-16,Boyd Lake </br> 0.18%
Nov-10-2024 to Nov-16-2024,CO,Lake Loveland,0.16,40.412350000000004,-105.087,11682,2024-11-10,2024-11-16,Lake Loveland </br> 0.16%
Nov-10-2024 to Nov-16-2024,CO,Carter Lake Reservoir,0.12,40.33504,-105.218,11816,2024-11-10,2024-11-16,Carter Lake Reservoir </br> 0.12%
Nov-10-2024 to Nov-16-2024,FL,Rodgers River Bay,0.24,25.56711,-81.0981,84918,2024-11-10,2024-11-16,Rodgers River Bay </br> 0.24%
Nov-10-2024 to Nov-16-2024,FL,West Lake,56.33,25.20776,-80.824700000000007,86672,2024-11-10,2024-11-16,West Lake </br> 56.33%
Nov-10-2024 to Nov-16-2024,FL,Cuthbert Lake,90.29,25.20805,-80.7758,86678,2024-11-10,2024-11-16,Cuthbert Lake </br> 90.29%
Nov-10-2024 to Nov-16-2024,FL,Seven Palm Lake,40.33,25.1935,-80.7295,86706,2024-11-10,2024-11-16,Seven Palm Lake </br> 40.33%
Nov-10-2024 to Nov-16-2024,FL,Monroe Lake,26.75,25.17788,-80.7405,86758,2024-11-10,2024-11-16,Monroe Lake </br> 26.75%
Nov-10-2024 to Nov-16-2024,FL,Bear Lake,40.77,25.16884,-80.9597,86782,2024-11-10,2024-11-16,Bear Lake </br> 40.77%
Nov-10-2024 to Nov-16-2024,FL,Coot Bay Pond,3.43,25.19438,-80.9166,89704,2024-11-10,2024-11-16,Coot Bay Pond </br> 3.43%
Nov-10-2024 to Nov-16-2024,FL,Lake Ingraham,3.76,25.15963,-81.1121,91346,2024-11-10,2024-11-16,Lake Ingraham </br> 3.76%
Nov-10-2024 to Nov-16-2024,CO,Marston Lake,0.13,39.62961,-105.068,187905,2024-11-10,2024-11-16,Marston Lake </br> 0.13%
Nov-10-2024 to Nov-16-2024,CO,Chatfield Lake,0.13,39.54464,-105.067,188031,2024-11-10,2024-11-16,Chatfield Lake </br> 0.13%
Nov-10-2024 to Nov-16-2024,TX,Sal del Ray,0.15,26.5372,-98.0564,201345,2024-11-10,2024-11-16,Sal del Ray </br> 0.15%
Nov-10-2024 to Nov-16-2024,TX,La Sal Vieja,0.16,26.53074,-97.8765,202621,2024-11-10,2024-11-16,La Sal Vieja </br> 0.16%
Nov-10-2024 to Nov-16-2024,TX,Unit Number Two,99.34,26.4129,-97.9464,204341,2024-11-10,2024-11-16,Unit Number Two </br> 99.34%
Nov-10-2024 to Nov-16-2024,TX,Laguna Atascosa,1.92,26.23655,-97.3888,204781,2024-11-10,2024-11-16,Laguna Atascosa </br> 1.92%
Nov-10-2024 to Nov-16-2024,TX,Reservoir Number One,94.57,26.0565,-97.7273,205377,2024-11-10,2024-11-16,Reservoir Number One </br> 94.57%
Nov-10-2024 to Nov-16-2024,TX,Resaca de La Palma Reservoir,99.69,25.97196,-97.5511,207611,2024-11-10,2024-11-16,Resaca de La Palma Reservoir </br> 99.69%
Nov-10-2024 to Nov-16-2024,CO,Jackson Reservoir,19.58,40.39189,-104.074,224233,2024-11-10,2024-11-16,Jackson Reservoir </br> 19.58%
Nov-10-2024 to Nov-16-2024,CO,Riverside Reservoir,4.33,40.33816,-104.263,224311,2024-11-10,2024-11-16,Riverside Reservoir </br> 4.33%
