date_range,state,lake,chance_cyanoHAB,lat,lon,COMID,date_start,date_end,label
Nov-24-2024 to Nov-30-2024,CO,Chatfield Lake,0.13,39.54464,-105.067,188031,2024-11-24,2024-11-30,Chatfield Lake </br> 0.13%
Nov-24-2024 to Nov-30-2024,TX,Sal del Ray,0.09,26.5372,-98.0564,201345,2024-11-24,2024-11-30,Sal del Ray </br> 0.09%
Nov-24-2024 to Nov-30-2024,TX,La Sal Vieja,0.11,26.53074,-97.8765,202621,2024-11-24,2024-11-30,La Sal Vieja </br> 0.11%
Nov-24-2024 to Nov-30-2024,TX,Unit Number Two,99.04,26.4129,-97.9464,204341,2024-11-24,2024-11-30,Unit Number Two </br> 99.04%
Nov-24-2024 to Nov-30-2024,TX,Laguna Atascosa,1.36,26.23655,-97.3888,204781,2024-11-24,2024-11-30,Laguna Atascosa </br> 1.36%
Nov-24-2024 to Nov-30-2024,TX,Reservoir Number One,92.62,26.0565,-97.7273,205377,2024-11-24,2024-11-30,Reservoir Number One </br> 92.62%
Nov-24-2024 to Nov-30-2024,TX,Resaca de La Palma Reservoir,99.55,25.97196,-97.5511,207611,2024-11-24,2024-11-30,Resaca de La Palma Reservoir </br> 99.55%
Nov-24-2024 to Nov-30-2024,CO,Jackson Reservoir,16.17,40.39189,-104.074,224233,2024-11-24,2024-11-30,Jackson Reservoir </br> 16.17%
Nov-24-2024 to Nov-30-2024,CO,Riverside Reservoir,3.55,40.33816,-104.263,224311,2024-11-24,2024-11-30,Riverside Reservoir </br> 3.55%
Nov-24-2024 to Nov-30-2024,CO,Lower Latham Reservoir,13.76,40.34583,-104.639,224361,2024-11-24,2024-11-30,Lower Latham Reservoir </br> 13.76%
Nov-24-2024 to Nov-30-2024,CO,Empire Reservoir,10.9,40.2678,-104.163,224443,2024-11-24,2024-11-30,Empire Reservoir </br> 10.9%
Nov-24-2024 to Nov-30-2024,CO,Milton Reservoir,2.91,40.2264,-104.642,224573,2024-11-24,2024-11-30,Milton Reservoir </br> 2.91%
Nov-24-2024 to Nov-30-2024,CO,Standley Lake,0.49,39.86374,-105.124,228235,2024-11-24,2024-11-30,Standley Lake </br> 0.49%
Nov-24-2024 to Nov-30-2024,CO,Barr Lake,1.5,39.94319,-104.764,228919,2024-11-24,2024-11-30,Barr Lake </br> 1.5%
Nov-24-2024 to Nov-30-2024,CO,Cherry Creek Lake,0.51,39.64032,-104.855,229217,2024-11-24,2024-11-30,Cherry Creek Lake </br> 0.51%
Nov-24-2024 to Nov-30-2024,OK,Lake Hefner,0.47,35.56682,-97.5951,253350,2024-11-24,2024-11-30,Lake Hefner </br> 0.47%
Nov-24-2024 to Nov-30-2024,MI,Round Lake,0.08,46.15092,-86.7447,271501,2024-11-24,2024-11-30,Round Lake </br> 0.08%
Nov-24-2024 to Nov-30-2024,OK,Shell Lake,5.59,36.19126,-96.1797,368347,2024-11-24,2024-11-30,Shell Lake </br> 5.59%
Nov-24-2024 to Nov-30-2024,OK,Webbers Falls Reservoir,0.11,35.60737,-95.221,381408,2024-11-24,2024-11-30,Webbers Falls Reservoir </br> 0.11%
Nov-24-2024 to Nov-30-2024,OK,Canton Lake,11.62,36.12569,-98.6147,389774,2024-11-24,2024-11-30,Canton Lake </br> 11.62%
Nov-24-2024 to Nov-30-2024,OK,Tenkiller Lake,0.07,35.7169,-94.9482,399680,2024-11-24,2024-11-30,Tenkiller Lake </br> 0.07%
Nov-24-2024 to Nov-30-2024,OK,Tenkiller Ferry Lake,0.07,35.63059,-95.0342,402142,2024-11-24,2024-11-30,Tenkiller Ferry Lake </br> 0.07%
Nov-24-2024 to Nov-30-2024,OK,Lake Murray,0.2,34.07157,-97.0757,423160,2024-11-24,2024-11-30,Lake Murray </br> 0.2%
Nov-24-2024 to Nov-30-2024,OK,Stanley Draper Lake,0.21,35.35016,-97.356,481582,2024-11-24,2024-11-30,Stanley Draper Lake </br> 0.21%
Nov-24-2024 to Nov-30-2024,OK,Lake Thunderbird,6.04,35.23374,-97.2577,481656,2024-11-24,2024-11-30,Lake Thunderbird </br> 6.04%
Nov-24-2024 to Nov-30-2024,OK,Lake McMurtry,0.72,36.18245,-97.1858,491560,2024-11-24,2024-11-30,Lake McMurtry </br> 0.72%
Nov-24-2024 to Nov-30-2024,OK,Lake Carl Blackwell,4.91,36.13618,-97.228,491604,2024-11-24,2024-11-30,Lake Carl Blackwell </br> 4.91%
Nov-24-2024 to Nov-30-2024,OK,Lake McAlester,0.22,35.03047,-95.8296,510415,2024-11-24,2024-11-30,Lake McAlester </br> 0.22%
Nov-24-2024 to Nov-30-2024,OK,S Lake Eufaula,0.67,34.95741,-95.6102,513979,2024-11-24,2024-11-30,S Lake Eufaula </br> 0.67%
Nov-24-2024 to Nov-30-2024,OK,Dripping Springs Lake,0.12,35.56111,-96.1173,534887,2024-11-24,2024-11-30,Dripping Springs Lake </br> 0.12%
Nov-24-2024 to Nov-30-2024,OK,South Lake,0.09,34.0705,-95.4183,592596,2024-11-24,2024-11-30,South Lake </br> 0.09%
Nov-24-2024 to Nov-30-2024,OK,Pine Creek Reservoir,3.56,34.15248,-95.103,617546,2024-11-24,2024-11-30,Pine Creek Reservoir </br> 3.56%
Nov-24-2024 to Nov-30-2024,OK,Broken Bow Lake,0.12,34.21277,-94.6843,630011,2024-11-24,2024-11-30,Broken Bow Lake </br> 0.12%
Nov-24-2024 to Nov-30-2024,OK,Lake Ellsworth,3.55,34.82354,-98.3534,672210,2024-11-24,2024-11-30,Lake Ellsworth </br> 3.55%
Nov-24-2024 to Nov-30-2024,OK,Lake Lawtonka,4.82,34.75722,-98.5078,672260,2024-11-24,2024-11-30,Lake Lawtonka </br> 4.82%
Nov-24-2024 to Nov-30-2024,OK,Fort Cobb Reservoir,6.7,35.19674,-98.483,681831,2024-11-24,2024-11-30,Fort Cobb Reservoir </br> 6.7%
Nov-24-2024 to Nov-30-2024,ME,Long Lake,0.74,46.625,-69.3767,717696,2024-11-24,2024-11-30,Long Lake </br> 0.74%
Nov-24-2024 to Nov-30-2024,ME,Clear Lake,0.53,46.52027,-69.1287,717824,2024-11-24,2024-11-30,Clear Lake </br> 0.53%
Nov-24-2024 to Nov-30-2024,ME,Heron-Churchill Lakes,0.11,46.37289,-69.3412,719480,2024-11-24,2024-11-30,Heron-Churchill Lakes </br> 0.11%
Nov-24-2024 to Nov-30-2024,ME,Pleasant Lake,0.26,46.47316,-69.1799,719490,2024-11-24,2024-11-30,Pleasant Lake </br> 0.26%
Nov-24-2024 to Nov-30-2024,ME,Spider Lake,0.21,46.44826,-69.2087,719500,2024-11-24,2024-11-30,Spider Lake </br> 0.21%
Nov-24-2024 to Nov-30-2024,ME,Haymock Lake,0.08,46.30324,-69.1849,719644,2024-11-24,2024-11-30,Haymock Lake </br> 0.08%
Nov-24-2024 to Nov-30-2024,ME,Indian Pond,0.04,46.25543,-69.2934,719684,2024-11-24,2024-11-30,Indian Pond </br> 0.04%
Nov-24-2024 to Nov-30-2024,ME,Long Lake,0.08,47.20638,-68.241,723898,2024-11-24,2024-11-30,Long Lake </br> 0.08%
Nov-24-2024 to Nov-30-2024,ME,Mud Lake,0.06,47.15382,-68.292,723936,2024-11-24,2024-11-30,Mud Lake </br> 0.06%
Nov-24-2024 to Nov-30-2024,ME,Square Lake,0.1,47.06451,-68.4067,723938,2024-11-24,2024-11-30,Square Lake </br> 0.1%
Nov-24-2024 to Nov-30-2024,ME,Fish River Lake,0.57,46.82865,-68.7736,725058,2024-11-24,2024-11-30,Fish River Lake </br> 0.57%
Nov-24-2024 to Nov-30-2024,ME,Portage Lake,0.35,46.78602,-68.5091,725074,2024-11-24,2024-11-30,Portage Lake </br> 0.35%
Nov-24-2024 to Nov-30-2024,KS,Perry Lake,0.38,39.18347,-95.4522,746373,2024-11-24,2024-11-30,Perry Lake </br> 0.38%
Nov-24-2024 to Nov-30-2024,ME,Madawaska Lake,0.57,47.02536,-68.2131,802433,2024-11-24,2024-11-30,Madawaska Lake </br> 0.57%
Nov-24-2024 to Nov-30-2024,ME,Squapan Lake,0.37,46.54401,-68.2436,803413,2024-11-24,2024-11-30,Squapan Lake </br> 0.37%
Nov-24-2024 to Nov-30-2024,ME,Millinocket Lake,0.1,46.29874,-68.8853,806283,2024-11-24,2024-11-30,Millinocket Lake </br> 0.1%
Nov-24-2024 to Nov-30-2024,ME,Umcolcus Lake,0.17,46.28783,-68.4356,806301,2024-11-24,2024-11-30,Umcolcus Lake </br> 0.17%
Nov-24-2024 to Nov-30-2024,ME,Millimagassett Lake,0.03,46.28425,-68.7835,806311,2024-11-24,2024-11-30,Millimagassett Lake </br> 0.03%
Nov-24-2024 to Nov-30-2024,ME,Meduxnekeag Lake,0.09,46.09414,-68.0295,817877,2024-11-24,2024-11-30,Meduxnekeag Lake </br> 0.09%
Nov-24-2024 to Nov-30-2024,OK,Lake Yahola,0.6,36.22022,-95.9341,847048,2024-11-24,2024-11-30,Lake Yahola </br> 0.6%
Nov-24-2024 to Nov-30-2024,CO,Holbrook Reservoir,2.31,38.06316,-103.61,914071,2024-11-24,2024-11-30,Holbrook Reservoir </br> 2.31%
Nov-24-2024 to Nov-30-2024,CO,Turquoise Lake,0.55,39.26924,-106.383,916247,2024-11-24,2024-11-30,Turquoise Lake </br> 0.55%
Nov-24-2024 to Nov-30-2024,CO,Twin Lakes,0.23,39.08425,-106.333,916361,2024-11-24,2024-11-30,Twin Lakes </br> 0.23%
Nov-24-2024 to Nov-30-2024,CO,Twin Lakes Reservoir,0.29,39.07928,-106.365,916363,2024-11-24,2024-11-30,Twin Lakes Reservoir </br> 0.29%
Nov-24-2024 to Nov-30-2024,CO,Trinidad Lake,0.11,37.13644,-104.576,936750,2024-11-24,2024-11-30,Trinidad Lake </br> 0.11%
Nov-24-2024 to Nov-30-2024,CO,Lake Henry,12.86,38.26428,-103.709,975120,2024-11-24,2024-11-30,Lake Henry </br> 12.86%
Nov-24-2024 to Nov-30-2024,CO,Lake Meredith,10.33,38.19088,-103.703,975154,2024-11-24,2024-11-30,Lake Meredith </br> 10.33%
Nov-24-2024 to Nov-30-2024,TX,Lake A,0.05,33.10272,-95.0664,1010018,2024-11-24,2024-11-30,Lake A </br> 0.05%
Nov-24-2024 to Nov-30-2024,TX,Lake Cypress Springs,4.26,33.05924,-95.1886,1010164,2024-11-24,2024-11-30,Lake Cypress Springs </br> 4.26%
Nov-24-2024 to Nov-30-2024,TX,Lake O' the Pines,1.25,32.80087,-94.6107,1010832,2024-11-24,2024-11-30,Lake O' the Pines </br> 1.25%
Nov-24-2024 to Nov-30-2024,ME,Spencer Pond,0.17,45.74255,-69.5687,1021378,2024-11-24,2024-11-30,Spencer Pond </br> 0.17%
Nov-24-2024 to Nov-30-2024,ME,First Roach Pond,0.09,45.65463,-69.3792,1021504,2024-11-24,2024-11-30,First Roach Pond </br> 0.09%
Nov-24-2024 to Nov-30-2024,ME,Mountain View Pond,0.1,45.51955,-69.6901,1021692,2024-11-24,2024-11-30,Mountain View Pond </br> 0.1%
Nov-24-2024 to Nov-30-2024,ME,Long Pond,0.22,45.62674,-70.0871,1023054,2024-11-24,2024-11-30,Long Pond </br> 0.22%
Nov-24-2024 to Nov-30-2024,ME,Wood Pond,0.1,45.61972,-70.2776,1023066,2024-11-24,2024-11-30,Wood Pond </br> 0.1%
Nov-24-2024 to Nov-30-2024,ME,Attean Pond,0.07,45.56945,-70.2854,1023120,2024-11-24,2024-11-30,Attean Pond </br> 0.07%
Nov-24-2024 to Nov-30-2024,ME,Joes Hole,0.18,45.30665,-69.8405,1024266,2024-11-24,2024-11-30,Joes Hole </br> 0.18%
Nov-24-2024 to Nov-30-2024,ME,Fish Pond,0.1,45.40137,-70.2919,1031381,2024-11-24,2024-11-30,Fish Pond </br> 0.1%
Nov-24-2024 to Nov-30-2024,ME,Flagstaff Lake,0.08,45.19867,-70.3081,1031669,2024-11-24,2024-11-30,Flagstaff Lake </br> 0.08%
Nov-24-2024 to Nov-30-2024,ME,West Carry Pond,0.14,45.16877,-70.1111,1031729,2024-11-24,2024-11-30,West Carry Pond </br> 0.14%
Nov-24-2024 to Nov-30-2024,GA,Lake Sinclair,0.18,33.20784,-83.2584,1054153,2024-11-24,2024-11-30,Lake Sinclair </br> 0.18%
Nov-24-2024 to Nov-30-2024,MN,White Bear Lake,0.06,45.0773,-92.9805,1097324,2024-11-24,2024-11-30,White Bear Lake </br> 0.06%
Nov-24-2024 to Nov-30-2024,MN,Coon Lake,0.1,45.30549,-93.1664,1098396,2024-11-24,2024-11-30,Coon Lake </br> 0.1%
Nov-24-2024 to Nov-30-2024,MN,Bald Eagle Lake,1.66,45.11416,-93.0156,1099052,2024-11-24,2024-11-30,Bald Eagle Lake </br> 1.66%
Nov-24-2024 to Nov-30-2024,MN,Lower Lake (Lake Minnetonka),0.06,44.93976,-93.556,1101590,2024-11-24,2024-11-30,Lower Lake (Lake Minnetonka) </br> 0.06%
Nov-24-2024 to Nov-30-2024,MN,West Arm (Lake Minnetonka),11.09,44.94627,-93.6429,1101642,2024-11-24,2024-11-30,West Arm (Lake Minnetonka) </br> 11.09%
Nov-24-2024 to Nov-30-2024,MN,Lake Calhoun,0.15,44.9418,-93.3118,1101684,2024-11-24,2024-11-30,Lake Calhoun </br> 0.15%
Nov-24-2024 to Nov-30-2024,MN,Lake Minnetonka,0.12,44.91341,-93.6393,1101734,2024-11-24,2024-11-30,Lake Minnetonka </br> 0.12%
Nov-24-2024 to Nov-30-2024,TX,B A Steinhagen Lake,0.17,30.85543,-94.1948,1111211,2024-11-24,2024-11-30,B A Steinhagen Lake </br> 0.17%
Nov-24-2024 to Nov-30-2024,TX,Lake Sulphur Springs,0.3,33.17231,-95.629,1122789,2024-11-24,2024-11-30,Lake Sulphur Springs </br> 0.3%
Nov-24-2024 to Nov-30-2024,TX,Wright Patman Lake,4.13,33.27829,-94.2707,1127701,2024-11-24,2024-11-30,Wright Patman Lake </br> 4.13%
Nov-24-2024 to Nov-30-2024,TX,Goss Lake,0.14,33.27757,-94.0697,1127853,2024-11-24,2024-11-30,Goss Lake </br> 0.14%
Nov-24-2024 to Nov-30-2024,TX,River Crest Reservoir,36.26,33.39157,-95.1555,1128997,2024-11-24,2024-11-30,River Crest Reservoir </br> 36.26%
Nov-24-2024 to Nov-30-2024,LA,Black Bayou Lake,0.1,32.91292,-93.95,1135442,2024-11-24,2024-11-30,Black Bayou Lake </br> 0.1%
Nov-24-2024 to Nov-30-2024,TX,Lake Tyler,0.2,32.23912,-95.1512,1147787,2024-11-24,2024-11-30,Lake Tyler </br> 0.2%
Nov-24-2024 to Nov-30-2024,TX,Lake Striker,0.22,31.95969,-94.989,1148575,2024-11-24,2024-11-30,Lake Striker </br> 0.22%
Nov-24-2024 to Nov-30-2024,TX,Lake Nacogdoches,0.13,31.62249,-94.8184,1149471,2024-11-24,2024-11-30,Lake Nacogdoches </br> 0.13%
Nov-24-2024 to Nov-30-2024,TX,Ester Lake,0.55,31.21716,-94.2536,1158647,2024-11-24,2024-11-30,Ester Lake </br> 0.55%
Nov-24-2024 to Nov-30-2024,TX,Kurth Lake,0.33,31.44449,-94.691,1158651,2024-11-24,2024-11-30,Kurth Lake </br> 0.33%
Nov-24-2024 to Nov-30-2024,CO,Williams Fork Reservoir,0.27,40.01526,-106.21,1230577,2024-11-24,2024-11-30,Williams Fork Reservoir </br> 0.27%
Nov-24-2024 to Nov-30-2024,CO,Grand Lake,0.15,40.23162,-105.835,1233435,2024-11-24,2024-11-30,Grand Lake </br> 0.15%
Nov-24-2024 to Nov-30-2024,CO,Lake Granby,0.05,40.15546,-105.849,1233515,2024-11-24,2024-11-30,Lake Granby </br> 0.05%
Nov-24-2024 to Nov-30-2024,TX,White Rock Lake,1.08,32.83606,-96.7226,1259469,2024-11-24,2024-11-30,White Rock Lake </br> 1.08%
Nov-24-2024 to Nov-30-2024,TX,Trinidad Lake,44.36,32.1175,-96.0936,1262105,2024-11-24,2024-11-30,Trinidad Lake </br> 44.36%
Nov-24-2024 to Nov-30-2024,TX,Lake Worth,16.14,32.80908,-97.4615,1267710,2024-11-24,2024-11-30,Lake Worth </br> 16.14%
Nov-24-2024 to Nov-30-2024,TX,Lake Weatherford,39.55,32.78419,-97.6875,1267786,2024-11-24,2024-11-30,Lake Weatherford </br> 39.55%
Nov-24-2024 to Nov-30-2024,TX,Lake Arlington,11.59,32.70435,-97.2132,1267898,2024-11-24,2024-11-30,Lake Arlington </br> 11.59%
Nov-24-2024 to Nov-30-2024,TX,Benbrook Lake,2.01,32.62671,-97.4682,1267968,2024-11-24,2024-11-30,Benbrook Lake </br> 2.01%
Nov-24-2024 to Nov-30-2024,TX,Mountain Creek Lake,29.35,32.71806,-96.9614,1269548,2024-11-24,2024-11-30,Mountain Creek Lake </br> 29.35%
Nov-24-2024 to Nov-30-2024,TX,Lavon Lake,7.71,33.10404,-96.4712,1291638,2024-11-24,2024-11-30,Lavon Lake </br> 7.71%
Nov-24-2024 to Nov-30-2024,TX,New Terrell City Lake,21.22,32.74228,-96.1728,1296744,2024-11-24,2024-11-30,New Terrell City Lake </br> 21.22%
Nov-24-2024 to Nov-30-2024,TX,Lake Bridgeport,0.2,33.21846,-97.8659,1304891,2024-11-24,2024-11-30,Lake Bridgeport </br> 0.2%
Nov-24-2024 to Nov-30-2024,CO,Green Mountain Reservoir,0.39,39.87126,-106.285,1311881,2024-11-24,2024-11-30,Green Mountain Reservoir </br> 0.39%
Nov-24-2024 to Nov-30-2024,CO,Dillon Reservoir,0.62,39.60147,-106.058,1312051,2024-11-24,2024-11-30,Dillon Reservoir </br> 0.62%
Nov-24-2024 to Nov-30-2024,CO,Taylor Park Reservoir,0.35,38.83539,-106.58,1332558,2024-11-24,2024-11-30,Taylor Park Reservoir </br> 0.35%
Nov-24-2024 to Nov-30-2024,CO,Steamboat Lake,1.81,40.79592,-106.965,1353298,2024-11-24,2024-11-30,Steamboat Lake </br> 1.81%
Nov-24-2024 to Nov-30-2024,UT,Pelican Lake,0.19,40.19259,-109.682,1371518,2024-11-24,2024-11-30,Pelican Lake </br> 0.19%
Nov-24-2024 to Nov-30-2024,AZ,Many Farms Lake,0.34,36.35332,-109.583,1408803,2024-11-24,2024-11-30,Many Farms Lake </br> 0.34%
Nov-24-2024 to Nov-30-2024,TX,Bardwell Lake,23.54,32.28141,-96.6641,1445978,2024-11-24,2024-11-30,Bardwell Lake </br> 23.54%
Nov-24-2024 to Nov-30-2024,TX,Fairfield Lake,0.36,31.79518,-96.062,1454297,2024-11-24,2024-11-30,Fairfield Lake </br> 0.36%
Nov-24-2024 to Nov-30-2024,TX,Houston County Lake,0.4,31.41438,-95.5776,1455553,2024-11-24,2024-11-30,Houston County Lake </br> 0.4%
Nov-24-2024 to Nov-30-2024,TX,Lewis Creek Reservoir,0.08,30.43564,-95.5352,1466524,2024-11-24,2024-11-30,Lewis Creek Reservoir </br> 0.08%
Nov-24-2024 to Nov-30-2024,TX,Sabine Lake,11.23,29.89961,-93.8889,1475947,2024-11-24,2024-11-30,Sabine Lake </br> 11.23%
Nov-24-2024 to Nov-30-2024,TX,Knight Lake,1.63,29.70597,-93.9862,1476649,2024-11-24,2024-11-30,Knight Lake </br> 1.63%
Nov-24-2024 to Nov-30-2024,TX,Sabine Lake,0.12,29.88602,-93.8433,1477365,2024-11-24,2024-11-30,Sabine Lake </br> 0.12%
Nov-24-2024 to Nov-30-2024,TX,Clam Lake,0.2,29.68687,-94.0986,1478803,2024-11-24,2024-11-30,Clam Lake </br> 0.2%
Nov-24-2024 to Nov-30-2024,TX,Woodlands Golf Course Lake,0.78,30.7671,-95.1656,1492358,2024-11-24,2024-11-30,Woodlands Golf Course Lake </br> 0.78%
Nov-24-2024 to Nov-30-2024,TX,Lake Charlotte,29.24,29.868,-94.7257,1514105,2024-11-24,2024-11-30,Lake Charlotte </br> 29.24%
Nov-24-2024 to Nov-30-2024,TX,Lost Lake,12.5,29.85921,-94.7835,1514129,2024-11-24,2024-11-30,Lost Lake </br> 12.5%
Nov-24-2024 to Nov-30-2024,TX,Lake Anahuac,25,29.80275,-94.684,1514219,2024-11-24,2024-11-30,Lake Anahuac </br> 25%
Nov-24-2024 to Nov-30-2024,TX,Cotton Lake,27.82,29.79816,-94.8073,1514331,2024-11-24,2024-11-30,Cotton Lake </br> 27.82%
Nov-24-2024 to Nov-30-2024,TX,Wet Marsh Pond,0.31,29.77277,-94.8163,1514367,2024-11-24,2024-11-30,Wet Marsh Pond </br> 0.31%
Nov-24-2024 to Nov-30-2024,TX,Robinson Lake,9.03,29.58477,-94.5971,1523391,2024-11-24,2024-11-30,Robinson Lake </br> 9.03%
Nov-24-2024 to Nov-30-2024,TX,Lake Surprise,60.03,29.55322,-94.6808,1523509,2024-11-24,2024-11-30,Lake Surprise </br> 60.03%
Nov-24-2024 to Nov-30-2024,CO,Lake Pueblo,0.1,38.26593,-104.753,1531545,2024-11-24,2024-11-30,Lake Pueblo </br> 0.1%
Nov-24-2024 to Nov-30-2024,TX,Clear Lake,13.65,29.55251,-95.061,1562034,2024-11-24,2024-11-30,Clear Lake </br> 13.65%
Nov-24-2024 to Nov-30-2024,TX,Galveston County Industrial Water Reservoir,2.15,29.4387,-94.9747,1573030,2024-11-24,2024-11-30,Galveston County Industrial Water Reservoir </br> 2.15%
Nov-24-2024 to Nov-30-2024,TX,Oyster Lake,0.19,29.12179,-95.1749,1573668,2024-11-24,2024-11-30,Oyster Lake </br> 0.19%
Nov-24-2024 to Nov-30-2024,TX,Salt Lake,0.38,29.03822,-95.2555,1573900,2024-11-24,2024-11-30,Salt Lake </br> 0.38%
Nov-24-2024 to Nov-30-2024,CO,Adobe Creek Reservoir,6.3,38.26192,-103.246,1593551,2024-11-24,2024-11-30,Adobe Creek Reservoir </br> 6.3%
Nov-24-2024 to Nov-30-2024,CO,Neegronda Reservoir,1.18,38.30302,-102.755,1594371,2024-11-24,2024-11-30,Neegronda Reservoir </br> 1.18%
Nov-24-2024 to Nov-30-2024,CO,Queen Reservoir,18.47,38.29501,-102.65,1594373,2024-11-24,2024-11-30,Queen Reservoir </br> 18.47%
Nov-24-2024 to Nov-30-2024,TX,Cowtrap Lake,0.63,28.85446,-95.5224,1613786,2024-11-24,2024-11-30,Cowtrap Lake </br> 0.63%
Nov-24-2024 to Nov-30-2024,TX,Lake Austin,6.46,28.7926,-95.7929,1613898,2024-11-24,2024-11-30,Lake Austin </br> 6.46%
Nov-24-2024 to Nov-30-2024,ME,Rowe Pond,0.07,46.20594,-69.6062,1698272,2024-11-24,2024-11-30,Rowe Pond </br> 0.07%
Nov-24-2024 to Nov-30-2024,ME,Shallow Lake,9.39,46.22598,-69.4799,1698278,2024-11-24,2024-11-30,Shallow Lake </br> 9.39%
Nov-24-2024 to Nov-30-2024,ME,Umbbazooksus Lake,0.05,46.16857,-69.3775,1698316,2024-11-24,2024-11-30,Umbbazooksus Lake </br> 0.05%
Nov-24-2024 to Nov-30-2024,ME,Loon Lake,0.12,46.14701,-69.6392,1698322,2024-11-24,2024-11-30,Loon Lake </br> 0.12%
Nov-24-2024 to Nov-30-2024,ME,Longley Pond,0.08,46.16018,-69.4388,1698326,2024-11-24,2024-11-30,Longley Pond </br> 0.08%
Nov-24-2024 to Nov-30-2024,ME,Nesowadnehunk Lake,0.09,46.04055,-69.096,1698422,2024-11-24,2024-11-30,Nesowadnehunk Lake </br> 0.09%
Nov-24-2024 to Nov-30-2024,ME,Millinocket Lake,0.06,45.75953,-68.7944,1699384,2024-11-24,2024-11-30,Millinocket Lake </br> 0.06%
Nov-24-2024 to Nov-30-2024,ME,Dolby Pond,0.05,45.65227,-68.6306,1699482,2024-11-24,2024-11-30,Dolby Pond </br> 0.05%
Nov-24-2024 to Nov-30-2024,ME,Upper Jo-Mary Lake,0.04,45.60065,-68.962,1699556,2024-11-24,2024-11-30,Upper Jo-Mary Lake </br> 0.04%
Nov-24-2024 to Nov-30-2024,ME,Mud Pond,0.06,45.96272,-69.2872,1700848,2024-11-24,2024-11-30,Mud Pond </br> 0.06%
Nov-24-2024 to Nov-30-2024,ME,Harrington Lake,0.06,45.93605,-69.1621,1700856,2024-11-24,2024-11-30,Harrington Lake </br> 0.06%
Nov-24-2024 to Nov-30-2024,ME,Seboomook Lake,0.39,45.91353,-69.848,1700864,2024-11-24,2024-11-30,Seboomook Lake </br> 0.39%
Nov-24-2024 to Nov-30-2024,ME,Lobster Lake,0.09,45.85474,-69.5238,1700982,2024-11-24,2024-11-30,Lobster Lake </br> 0.09%
Nov-24-2024 to Nov-30-2024,ME,Ragged Lake,0.09,45.82058,-69.3758,1701002,2024-11-24,2024-11-30,Ragged Lake </br> 0.09%
Nov-24-2024 to Nov-30-2024,ME,Rainbow Lake,0.08,45.82396,-69.1166,1701038,2024-11-24,2024-11-30,Rainbow Lake </br> 0.08%
Nov-24-2024 to Nov-30-2024,ME,Third Debsconeag Lake,0.03,45.75816,-69.0303,1701156,2024-11-24,2024-11-30,Third Debsconeag Lake </br> 0.03%
Nov-24-2024 to Nov-30-2024,ME,Grand Lake Seboeis,0.03,46.29646,-68.6503,1710508,2024-11-24,2024-11-30,Grand Lake Seboeis </br> 0.03%
