date_range,state,lake,chance_cyanoHAB,lat,lon,COMID,date_start,date_end,label
Nov-24-2024 to Nov-30-2024,ME,Pleasant Lake,0.05,46.02266,-68.1624,759,2024-11-24,2024-11-30,Pleasant Lake </br> 0.05%
Nov-24-2024 to Nov-30-2024,ME,Jackson Brook Lake,0.3,45.53332,-67.7441,1637,2024-11-24,2024-11-30,Jackson Brook Lake </br> 0.3%
Nov-24-2024 to Nov-30-2024,ME,Wytopitlock Lake,0.11,45.79854,-68.1596,2311,2024-11-24,2024-11-30,Wytopitlock Lake </br> 0.11%
Nov-24-2024 to Nov-30-2024,CO,Boyd Lake,0.14,40.43393,-105.033,11646,2024-11-24,2024-11-30,Boyd Lake </br> 0.14%
Nov-24-2024 to Nov-30-2024,CO,Lake Loveland,0.13,40.412350000000004,-105.087,11682,2024-11-24,2024-11-30,Lake Loveland </br> 0.13%
Nov-24-2024 to Nov-30-2024,CO,Carter Lake Reservoir,0.1,40.33504,-105.218,11816,2024-11-24,2024-11-30,Carter Lake Reservoir </br> 0.1%
Nov-24-2024 to Nov-30-2024,FL,Rodgers River Bay,0.18,25.56711,-81.0981,84918,2024-11-24,2024-11-30,Rodgers River Bay </br> 0.18%
Nov-24-2024 to Nov-30-2024,FL,West Lake,48.2,25.20776,-80.824700000000007,86672,2024-11-24,2024-11-30,West Lake </br> 48.2%
Nov-24-2024 to Nov-30-2024,FL,Cuthbert Lake,87.05,25.20805,-80.7758,86678,2024-11-24,2024-11-30,Cuthbert Lake </br> 87.05%
Nov-24-2024 to Nov-30-2024,FL,Seven Palm Lake,32.95,25.1935,-80.7295,86706,2024-11-24,2024-11-30,Seven Palm Lake </br> 32.95%
Nov-24-2024 to Nov-30-2024,FL,Monroe Lake,20.98,25.17788,-80.7405,86758,2024-11-24,2024-11-30,Monroe Lake </br> 20.98%
Nov-24-2024 to Nov-30-2024,FL,Bear Lake,33.67,25.16884,-80.9597,86782,2024-11-24,2024-11-30,Bear Lake </br> 33.67%
Nov-24-2024 to Nov-30-2024,FL,Coot Bay Pond,2.52,25.19438,-80.9166,89704,2024-11-24,2024-11-30,Coot Bay Pond </br> 2.52%
Nov-24-2024 to Nov-30-2024,FL,Lake Ingraham,2.82,25.15963,-81.1121,91346,2024-11-24,2024-11-30,Lake Ingraham </br> 2.82%
Nov-24-2024 to Nov-30-2024,CO,Marston Lake,0.12,39.62961,-105.068,187905,2024-11-24,2024-11-30,Marston Lake </br> 0.12%
